DEF_HARPNUM,Minimum,Maximum
6247,2016-01-07 06:00:00,2016-01-10 16:36:00
71,2010-06-25 21:48:00,2010-07-08 23:48:00
3789,2014-02-22 20:36:00,2014-02-28 13:24:00
5216,2015-02-14 15:24:00,2015-02-15 17:36:00
1024,2011-10-31 05:48:00,2011-11-05 14:36:00
5382,2015-03-24 06:24:00,2015-03-25 10:36:00
3710,2014-02-02 10:36:00,2014-02-02 15:12:00
6118,2015-11-17 17:48:00,2015-11-18 20:36:00
735,2011-07-16 13:36:00,2011-07-20 01:00:00
4756,2014-10-28 17:48:00,2014-10-29 18:36:00
4721,2014-10-20 16:36:00,2014-10-20 18:36:00
6015,2015-10-12 22:48:00,2015-10-25 23:12:00
6181,2015-12-12 02:36:00,2015-12-16 16:12:00
2227,2012-11-18 21:12:00,2012-12-01 18:24:00
1298,2012-01-06 14:24:00,2012-01-07 05:36:00
3862,2014-03-15 13:24:00,2014-03-17 11:12:00
3981,2014-04-06 19:36:00,2014-04-07 01:12:00
5149,2015-02-02 15:12:00,2015-02-05 20:24:00
1201,2011-12-15 13:36:00,2011-12-24 13:00:00
3535,2013-12-22 18:48:00,2014-01-05 10:24:00
3918,2014-03-26 08:24:00,2014-03-31 18:48:00
3542,2013-12-25 01:12:00,2014-01-07 17:12:00
6905,2017-01-02 22:12:00,2017-01-03 02:00:00
372,2011-02-10 10:24:00,2011-02-19 03:24:00
305,2010-12-16 08:48:00,2010-12-24 07:00:00
6528,2016-04-28 15:36:00,2016-05-01 03:24:00
4388,2014-07-24 18:00:00,2014-07-29 15:36:00
291,2010-12-06 16:36:00,2010-12-13 00:00:00
6972,2017-03-25 00:24:00,2017-04-05 01:00:00
6452,2016-03-23 05:24:00,2016-03-25 22:12:00
4285,2014-06-23 19:00:00,2014-06-24 12:48:00
6425,2016-03-11 05:36:00,2016-03-11 22:12:00
2783,2013-05-25 01:24:00,2013-05-29 00:00:00
208,2010-10-05 05:24:00,2010-10-07 21:00:00
7337,2019-02-03 00:36:00,2019-02-11 04:48:00
3091,2013-08-17 01:00:00,2013-08-27 08:00:00
5403,2015-03-29 22:00:00,2015-03-31 21:48:00
3105,2013-08-18 17:00:00,2013-08-21 14:36:00
5474,2015-04-17 23:12:00,2015-04-24 14:24:00
7340,2019-02-13 02:48:00,2019-02-14 01:48:00
6522,2016-04-26 10:24:00,2016-05-02 19:24:00
4216,2014-06-06 14:00:00,2014-06-07 18:00:00
2710,2013-04-30 19:00:00,2013-05-03 21:00:00
4261,2014-06-17 08:36:00,2014-06-20 22:24:00
378,2011-02-11 21:36:00,2011-02-19 16:12:00
6555,2016-05-13 10:48:00,2016-05-21 23:48:00
6875,2016-12-02 01:36:00,2016-12-02 23:12:00
275,2010-11-29 11:24:00,2010-12-05 14:00:00
5573,2015-05-15 10:24:00,2015-05-18 15:48:00
7247,2018-04-09 12:12:00,2018-04-10 18:00:00
5929,2015-08-29 17:12:00,2015-08-31 18:12:00
3002,2013-07-23 05:12:00,2013-07-23 09:36:00
5490,2015-04-21 08:24:00,2015-05-02 02:24:00
7230,2018-01-18 18:36:00,2018-01-22 22:12:00
3196,2013-09-17 10:12:00,2013-09-18 02:36:00
5409,2015-04-01 17:48:00,2015-04-11 09:36:00
6086,2015-11-09 19:00:00,2015-11-10 08:24:00
6165,2015-12-04 22:24:00,2015-12-05 05:24:00
748,2011-07-24 03:00:00,2011-08-02 14:36:00
632,2011-05-25 20:48:00,2011-06-05 09:00:00
6068,2015-10-31 07:00:00,2015-11-03 19:36:00
5134,2015-01-30 12:48:00,2015-02-05 11:36:00
1292,2012-01-05 14:36:00,2012-01-06 20:24:00
3432,2013-11-25 23:36:00,2013-12-07 14:00:00
3912,2014-03-25 11:48:00,2014-04-08 14:24:00
3886,2014-03-19 16:48:00,2014-03-20 22:12:00
5039,2015-01-06 20:24:00,2015-01-21 01:12:00
3965,2014-04-03 04:36:00,2014-04-12 07:48:00
5607,2015-05-21 15:24:00,2015-05-23 11:24:00
3295,2013-10-18 04:00:00,2013-11-01 06:48:00
5793,2015-07-15 10:36:00,2015-07-17 09:12:00
3376,2013-11-12 02:00:00,2013-11-25 15:24:00
1442,2012-02-28 19:12:00,2012-03-01 01:36:00
1818,2012-06-29 04:48:00,2012-06-30 05:24:00
7144,2017-09-20 00:12:00,2017-10-02 18:36:00
5670,2015-06-10 00:24:00,2015-06-18 17:36:00
1962,2012-08-22 20:00:00,2012-09-01 22:24:00
1915,2012-08-02 20:48:00,2012-08-08 17:24:00
6656,2016-07-03 17:36:00,2016-07-05 08:36:00
2464,2013-02-06 17:00:00,2013-02-09 14:00:00
198,2010-09-27 20:00:00,2010-10-09 04:24:00
2413,2013-01-22 14:00:00,2013-01-30 13:00:00
2587,2013-03-22 22:36:00,2013-04-05 02:00:00
6621,2016-06-12 18:24:00,2016-06-17 04:12:00
2849,2013-06-11 10:48:00,2013-06-16 07:24:00
2569,2013-03-12 12:48:00,2013-03-19 00:00:00
2933,2013-07-04 02:36:00,2013-07-04 08:36:00
176,2010-09-10 16:48:00,2010-09-14 09:36:00
101,2010-07-24 12:36:00,2010-07-26 16:48:00
2944,2013-07-06 17:48:00,2013-07-09 13:48:00
1005,2011-10-23 23:36:00,2011-11-04 18:24:00
5237,2015-02-18 15:12:00,2015-02-21 17:12:00
1072,2011-11-12 07:36:00,2011-11-20 12:48:00
3746,2014-02-12 11:36:00,2014-02-16 14:48:00
1108,2011-11-19 22:00:00,2011-11-21 01:24:00
4908,2014-12-07 01:48:00,2014-12-18 17:36:00
8,2010-05-02 14:36:00,2010-05-08 17:00:00
50,2010-06-09 14:48:00,2010-06-09 23:00:00
4552,2014-09-10 10:00:00,2014-09-21 16:00:00
6211,2015-12-22 11:00:00,2015-12-27 08:48:00
4525,2014-09-01 19:12:00,2014-09-02 06:24:00
2023,2012-09-07 02:48:00,2012-09-09 23:12:00
4991,2014-12-24 10:36:00,2015-01-02 10:24:00
4872,2014-11-25 16:12:00,2014-12-08 03:48:00
531,2011-04-23 11:12:00,2011-04-27 22:12:00
4428,2014-08-01 17:36:00,2014-08-02 23:24:00
1078,2011-11-13 10:48:00,2011-11-20 08:36:00
1175,2011-12-08 12:00:00,2011-12-12 11:00:00
5347,2015-03-18 19:36:00,2015-03-28 16:12:00
5330,2015-03-12 15:36:00,2015-03-15 19:00:00
436,2011-03-21 10:00:00,2011-03-26 22:24:00
2029,2012-09-11 17:00:00,2012-09-15 05:24:00
2,2010-05-01 00:00:00,2010-05-05 12:00:00
4896,2014-12-03 23:12:00,2014-12-06 23:12:00
4878,2014-11-26 16:24:00,2014-11-28 14:48:00
